celltype	histone	ymin	lower	middle	upper	ymax
Epi	H3K27me3	6.05242296466972e-05	0.00234273457098439	0.00710333330036077	0.0112815629928633	0.0848297297664129
Epi	H3K4me3	7.78654084890187e-05	0.00120451260017604	0.00890085163348429	0.0417710944026734	0.0691950747547486
Epi	H3K9me3	0.00169463721884274	0.00296298775105141	0.00750506789820501	0.0359473849504642	0.0863080853414348
PaE	H3K27me3	0.000141960294500606	0.00151135628966398	0.00802107559788255	0.0170093340186339	0.0732334111199522
PaE	H3K4me3	0.000313613327311957	0.00280419939390665	0.0064100098714152	0.0181700915092217	0.0789201913927384
PaE	H3K9me3	4.84100749285815e-05	0.00313501827944332	0.00506765402585416	0.0264023086403545	0.076684176220237
VE	H3K27me3	0.000240251472176933	0.00197271812855055	0.0106594454194273	0.0288801106404746	0.0819970546657964
VE	H3K4me3	0.000307602904091322	0.00110497663781177	0.00380963076154812	0.00932716480599097	0.0827211964793859
VE	H3K9me3	0.00229240759190377	0.00655078864906132	0.0142209116695629	0.0301817945203099	0.0646195202646816
ExE	H3K27me3	5.10443599478796e-05	0.000462532897721619	0.0111275799294066	0.0322925794709546	0.0613170911171974
ExE	H3K4me3	2.30165306748762e-05	0.000307535925284589	0.00310722446851814	0.00892009218634496	0.0395954924491396
ExE	H3K9me3	0.00357192736557141	0.0057064008835353	0.0145770779711815	0.0233127782954735	0.0250423215233745
